DCC,DCC,Ethereum,ERC20,Singapore,49000000,49000000,49000000,49000000,49000000,100,V.High,V.High,,,Medium,8,7.3,,4,,,2.9,6.9,,2.9,
Hybrid ICO,,Ethereum,ERC20,,3000000,3000000,3000000,3000000,3000000,100,High,,V High,,Very low,,,,,,,,,,,
Tembocoin,TMB,Ethereum,ERC20,Tanzania,25000,10000,3000,25000,10000,60,V.Low,V.Low,Medium,,,,,,,,,,,,,
Arcus,,Waves,ERC20,Russia,6000000,3000000,6000000,6000000,3000000,100,,V.high,V.Low,,,5,8.5,,8,,,,,,,
Sword coin,swdo,Ethereum,ERC20,,50000000,1000000,20660000,50000000,1000000,41,,,V.Low,,V.Low,6,8.1,,10,,,3.8,,,3.8,
Simdaq,smq,Ethereum,ERC20,Russia,7000000,500000,5000000,7000000,500000,71,High,High,V.Low,,V.Low,7,6.9,3,1,2.4,3,2.8,5.8,,2.8,
decentralized-machine-learning,,Ethereum,ERC20,Singapore,10000000,10000000,10000000,10000000,10000000,100,,High,Low,,Low,,,3.5,,3,3.5,2.5,,,2.5,
Gigzi,,Ethereum,ERC20,UK,5200000,5200000,5200000,5200000,5200000,100,,High,Low,,Low,7,8.5,,9,,,,8.1,,,
ZyneCoin,zyn,Ethereum,ERC20,france,1000000,1000000,1000000,1000000,1000000,100,V.Low,High,,High,High,,,2.6,,2.2,2.6,3.1,,,3.1,
Bablos,,Ethereum,ERC20,,3360000,3360000,4068000,3360000,3360000,121,,High,Low,V.Low,V.Low,7,8.5,1,1,1,1,2.9,,,2.9,
MUST,,Ethereum,ERC20,Estonia,3000000,3000000,476000,24000000,6700000,109,V.High,,,,High,8,8.8,10,,,,3.8,,,3.8,
STIPS,,Ethereum,ERC20,UK,11400000,4400000,,11400000,4400000,12.2,High,High,V.Low,High,High,,,,,,,1.8,,,1.8,
Hero node ico,HER,Ethereum,ERC20,China,2180000,2180000,2180000,2180000,2180000,100,,Medium,Medium,,Low,8,4.2,1,9,1,1,1.6,6.5,,1.6,